epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,40818.3,0.36373,1.32029,0.87084,0.40995,0.88623,0.45518,0.39554,0.32743,1.23721,0.84894,0.000238728,0.000238728,0.000238728
62,40997.4,0.36664,1.34329,0.87148,0.40693,0.96454,0.4548,0.39511,0.30268,1.22406,0.84486,0.000232907,0.000232907,0.000232907
63,41167.1,0.34857,1.28528,0.86874,0.40607,0.94754,0.46796,0.39854,0.30591,1.21264,0.84286,0.000227086,0.000227086,0.000227086
64,41394.1,0.37456,1.28821,0.87935,0.40956,0.93433,0.4705,0.40252,0.3161,1.21629,0.84305,0.000221264,0.000221264,0.000221264
65,41615.8,0.35278,1.30951,0.87023,0.40875,0.94756,0.46302,0.39742,0.31526,1.21447,0.84585,0.000215443,0.000215443,0.000215443
66,41924.2,0.34985,1.29388,0.87281,0.40469,0.93204,0.46546,0.40163,0.32089,1.21349,0.847,0.000209622,0.000209622,0.000209622
67,42160.3,0.35691,1.28013,0.8701,0.40222,0.94586,0.46292,0.39896,0.30127,1.20589,0.83857,0.000203801,0.000203801,0.000203801
68,42585.9,0.37562,1.29599,0.87914,0.38591,0.9408,0.45819,0.39428,0.28673,1.23333,0.84088,0.00019798,0.00019798,0.00019798
69,42758.6,0.34938,1.281,0.87005,0.39838,0.95622,0.46403,0.39745,0.29374,1.21094,0.83701,0.000192158,0.000192158,0.000192158
70,42930.9,0.35263,1.29366,0.866,0.40312,0.95134,0.46046,0.39864,0.31033,1.21081,0.83972,0.000186337,0.000186337,0.000186337
71,43109.3,0.35367,1.27996,0.86628,0.40239,0.93265,0.46163,0.3961,0.30584,1.21756,0.84197,0.000180516,0.000180516,0.000180516
72,43296.5,0.35635,1.2826,0.8695,0.40986,0.88016,0.4652,0.40037,0.30237,1.20735,0.84066,0.000174695,0.000174695,0.000174695
73,43473.1,0.3446,1.27766,0.8632,0.40555,0.91917,0.4666,0.40164,0.30491,1.20468,0.83917,0.000168874,0.000168874,0.000168874
74,43740.5,0.35088,1.28805,0.86977,0.39777,0.93254,0.46547,0.40045,0.29267,1.21854,0.8378,0.000163052,0.000163052,0.000163052
75,43947.7,0.34398,1.25606,0.865,0.40736,0.93612,0.46406,0.39864,0.29787,1.2032,0.83811,0.000157231,0.000157231,0.000157231
76,44124.2,0.35005,1.26367,0.8689,0.39506,0.92679,0.46024,0.39851,0.29035,1.19029,0.83613,0.00015141,0.00015141,0.00015141
77,44324.1,0.3448,1.26819,0.87026,0.39237,0.93848,0.45694,0.39611,0.29969,1.19318,0.84271,0.000145589,0.000145589,0.000145589
