epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,16509.5,0.2596,0.32927,0.84433,0.89038,0.76693,0.85365,0.76842,0.18053,0.29705,0.78978,0.000197992,0.000197992,0.000197992
75,16813.4,0.26527,0.33147,0.84536,0.8702,0.78952,0.82434,0.7399,0.1814,0.31027,0.79265,0.000190924,0.000190924,0.000190924
76,17115.9,0.265,0.33465,0.8469,0.8334,0.80362,0.84424,0.75533,0.18391,0.30431,0.79315,0.000183855,0.000183855,0.000183855
77,17393.5,0.26181,0.32874,0.84695,0.82938,0.81334,0.84642,0.75928,0.18071,0.30017,0.79171,0.000176786,0.000176786,0.000176786
78,17583.3,0.26314,0.3387,0.84813,0.81839,0.80672,0.85369,0.76837,0.17412,0.29826,0.78825,0.000169718,0.000169718,0.000169718
79,17760.9,0.27114,0.3398,0.84997,0.82944,0.80783,0.85743,0.77314,0.17228,0.28358,0.78917,0.000162649,0.000162649,0.000162649
80,17940.3,0.26327,0.33197,0.85007,0.90257,0.75458,0.86433,0.77223,0.17172,0.29071,0.78985,0.000155581,0.000155581,0.000155581
81,18169.5,0.25678,0.32557,0.84371,0.90423,0.7448,0.85876,0.76692,0.16627,0.28877,0.78797,0.000148512,0.000148512,0.000148512
82,18475.1,0.25149,0.32309,0.84234,0.90031,0.7776,0.87032,0.78379,0.17136,0.27934,0.79008,0.000141443,0.000141443,0.000141443
83,18744,0.25443,0.31593,0.84613,0.91245,0.77735,0.87141,0.7813,0.17508,0.2941,0.79082,0.000134375,0.000134375,0.000134375
84,18939.6,0.25884,0.33185,0.85117,0.91086,0.79556,0.88495,0.79503,0.16992,0.27585,0.78893,0.000127306,0.000127306,0.000127306
85,19129,0.2551,0.3237,0.84426,0.88521,0.79623,0.86162,0.77445,0.16693,0.29236,0.78584,0.000120238,0.000120238,0.000120238
86,19318,0.24648,0.31687,0.84157,0.80801,0.82794,0.85799,0.77334,0.17267,0.29354,0.78774,0.000113169,0.000113169,0.000113169
87,19514.6,0.24558,0.31311,0.84582,0.8989,0.76844,0.83959,0.75411,0.16837,0.30129,0.7863,0.0001061,0.0001061,0.0001061
88,19874.3,0.2613,0.32676,0.84376,0.89247,0.78323,0.87093,0.78389,0.16728,0.28477,0.78532,9.90318e-05,9.90318e-05,9.90318e-05
89,20094.2,0.24726,0.319,0.84093,0.80719,0.83138,0.86046,0.77793,0.16426,0.2808,0.78727,9.19632e-05,9.19632e-05,9.19632e-05
90,20315.8,0.24239,0.30829,0.84315,0.84811,0.80674,0.86425,0.77774,0.16674,0.2846,0.78615,8.48946e-05,8.48946e-05,8.48946e-05
91,20505.7,0.18944,0.26358,0.79776,0.83718,0.85386,0.89464,0.80651,0.16533,0.27215,0.78517,7.7826e-05,7.7826e-05,7.7826e-05
92,20691.8,0.18398,0.25237,0.79109,0.84665,0.82249,0.86956,0.7865,0.16824,0.28778,0.78692,7.07574e-05,7.07574e-05,7.07574e-05
93,20878.5,0.18275,0.24846,0.79231,0.86839,0.82122,0.87426,0.79794,0.16043,0.28495,0.78563,6.36888e-05,6.36888e-05,6.36888e-05
94,21060.9,0.17959,0.24663,0.79759,0.85099,0.79267,0.85207,0.78067,0.1663,0.28761,0.78711,5.66202e-05,5.66202e-05,5.66202e-05
95,21245.7,0.18853,0.25126,0.79676,0.82383,0.80533,0.84808,0.77007,0.16496,0.2924,0.78569,4.95516e-05,4.95516e-05,4.95516e-05
96,21427.4,0.17634,0.24145,0.79603,0.86197,0.80761,0.86519,0.78677,0.16182,0.28124,0.78601,4.2483e-05,4.2483e-05,4.2483e-05
97,21611.6,0.172,0.24093,0.79396,0.83735,0.83193,0.87503,0.79827,0.16034,0.27983,0.78762,3.54144e-05,3.54144e-05,3.54144e-05
98,21820.7,0.17027,0.23739,0.79004,0.89917,0.7768,0.86316,0.78021,0.16078,0.28486,0.78773,2.83458e-05,2.83458e-05,2.83458e-05
99,22009.8,0.16916,0.23657,0.79377,0.86574,0.79749,0.87155,0.78717,0.15932,0.27837,0.78766,2.12772e-05,2.12772e-05,2.12772e-05
100,22227.9,0.1694,0.23796,0.79418,0.84577,0.81992,0.87841,0.7993,0.15583,0.27147,0.78666,1.42086e-05,1.42086e-05,1.42086e-05
